1140.100
1140.088
1139.717
1139.717
1139.211
1139.211
1139.211
1139.211
1138.241
1138.241
1138.241
1137.927
1137.927
1137.867
1137.757
1137.569
1137.569
1137.130
1137.130
1135.385

Training Accuracy: 0.611
Testing Accuracy: 0.623
Training time: 0.469 seconds
