1200.113
1183.965
1173.682
1165.183
1161.631
1164.015
1177.499
1149.556
1156.167
1136.477
1119.962
1091.137
1092.673
1094.237
1097.423
1090.880
1094.182
1098.656
1096.664
1092.986

Training Accuracy: 0.841
Testing Accuracy: 0.855
Training time: 233.579 seconds
