972.390
971.192
971.319
970.408
960.309
959.131
965.213
963.627
964.903
957.891
956.739
966.200
969.439
971.635
966.772

Training Accuracy: 66.623%
Testing Accuracy: 66.564%
Training time: 0.305 seconds
