SA_nursery_training_full_run-3_iteration-4,33.003,32.485,0.637
SA_nursery_training_full_run-4_iteration-1,44.224,44.444,0.187
SA_nursery_training_full_run-2_iteration-8,38.713,37.397,1.331
SA_nursery_training_full_run-3_iteration-5,44.896,46.605,0.860
SA_nursery_training_full_run-4_iteration-2,36.420,35.880,0.352
SA_nursery_training_full_run-2_iteration-9,55.567,55.658,1.496
SA_nursery_training_full_run-3_iteration-6,43.199,42.207,1.026
SA_nursery_training_full_run-4_iteration-3,68.993,68.853,0.495
SA_nursery_training_full_run-3_iteration-7,68.375,70.653,1.182
SA_nursery_training_full_run-4_iteration-4,26.444,26.929,0.630
SA_nursery_training_full_run-3_iteration-8,50.243,51.286,1.282
SA_nursery_training_full_run-4_iteration-5,36.574,37.526,0.846
SA_nursery_training_full_run-3_iteration-9,42.008,40.741,1.476
SA_nursery_training_full_run-4_iteration-6,33.763,33.359,1.105
SA_nursery_training_full_run-4_iteration-7,39.991,39.866,1.350
SA_nursery_training_full_run-4_iteration-8,49.846,49.126,1.573
SA_nursery_training_full_run-4_iteration-9,47.101,48.354,1.880
GA_nursery_training_full_run-0_iteration-0,77.524,79.167,66.335
GA_nursery_training_full_run-1_iteration-0,74.339,74.588,65.859
GA_nursery_training_full_run-2_iteration-0,70.183,71.039,66.642
GA_nursery_training_full_run-3_iteration-0,75.077,74.923,66.807
GA_nursery_training_full_run-4_iteration-0,76.543,76.878,66.048
GA_nursery_training_full_run-0_iteration-1,77.392,77.032,128.429
GA_nursery_training_full_run-1_iteration-1,78.979,78.781,128.032
GA_nursery_training_full_run-2_iteration-1,68.860,69.419,127.128
GA_nursery_training_full_run-3_iteration-1,80.853,80.684,126.624
GA_nursery_training_full_run-4_iteration-1,79.310,79.501,126.668
GA_nursery_training_full_run-0_iteration-2,81.823,82.742,181.438
GA_nursery_training_full_run-1_iteration-2,81.713,82.459,180.544
GA_nursery_training_full_run-2_iteration-2,80.952,79.630,181.101
GA_nursery_training_full_run-3_iteration-2,81.228,81.842,180.817
GA_nursery_training_full_run-4_iteration-2,78.715,80.041,178.999
GA_nursery_training_full_run-0_iteration-3,74.835,75.489,228.396
GA_nursery_training_full_run-1_iteration-3,73.424,73.097,227.220
GA_nursery_training_full_run-2_iteration-3,88.580,88.349,227.904
GA_nursery_training_full_run-3_iteration-3,88.536,88.092,227.990
GA_nursery_training_full_run-4_iteration-3,76.731,76.955,226.658
GA_nursery_training_full_run-0_iteration-4,73.799,74.383,270.536
GA_nursery_training_full_run-1_iteration-4,84.921,85.031,267.670
GA_nursery_training_full_run-3_iteration-4,80.071,80.838,265.664
GA_nursery_training_full_run-4_iteration-4,77.668,78.421,265.415
GA_nursery_training_full_run-2_iteration-4,84.182,84.491,271.871
GA_nursery_training_full_run-1_iteration-5,79.541,81.276,300.958
GA_nursery_training_full_run-0_iteration-5,69.478,70.730,306.444
GA_nursery_training_full_run-2_iteration-5,74.228,74.949,300.408
GA_nursery_training_full_run-3_iteration-5,80.534,81.096,298.940
GA_nursery_training_full_run-4_iteration-5,76.808,77.341,299.651
GA_nursery_training_full_run-0_iteration-6,79.773,79.218,332.032
GA_nursery_training_full_run-1_iteration-6,76.488,78.189,330.483
GA_nursery_training_full_run-2_iteration-6,80.842,80.941,328.702
GA_nursery_training_full_run-3_iteration-6,76.731,77.598,325.696
GA_nursery_training_full_run-4_iteration-6,90.741,90.149,324.608
GA_nursery_training_full_run-0_iteration-7,73.589,74.280,352.023
GA_nursery_training_full_run-1_iteration-7,84.623,84.954,349.304
GA_nursery_training_full_run-3_iteration-7,84.403,84.259,344.813
GA_nursery_training_full_run-2_iteration-7,80.015,80.170,348.229
GA_nursery_training_full_run-4_iteration-7,81.658,81.970,343.108
GA_nursery_training_full_run-1_iteration-8,85.251,85.905,363.417
GA_nursery_training_full_run-3_iteration-8,83.763,85.031,357.246
GA_nursery_training_full_run-0_iteration-8,89.076,89.943,366.515
GA_nursery_training_full_run-2_iteration-8,72.123,72.788,361.237
GA_nursery_training_full_run-4_iteration-8,81.735,82.202,357.478
GA_nursery_training_full_run-0_iteration-9,90.046,90.149,374.691
GA_nursery_training_full_run-1_iteration-9,83.190,83.822,371.793
GA_nursery_training_full_run-3_iteration-9,75.000,75.309,366.121
GA_nursery_training_full_run-2_iteration-9,71.792,71.708,368.685
GA_nursery_training_full_run-4_iteration-9,73.931,74.331,363.965
