1285.818
1284.553
1284.553
1276.091
1271.646
1271.646
1257.503
1246.626
1246.626
1244.289
1244.289
1241.998
1241.998
1241.998
1241.998

Training Accuracy: 48.104%
Testing Accuracy: 47.711%
Training time: 0.273 seconds
